"","Individual","Age","Age.Class","Zoo","Sex","Session","Phase","OverallTrial","Trial.by.door","Motivation","Motperdoor","Persistence","Diversity","ActionDiv","BodyDiv","Solved","Door.type","LatToSolve","IntLatToSolve","TotalSessTime","Innovation","Neophilia","Notes"
"102","Achara",4,"Juvenile","OKC","F",1,2,9,3,1.499,75.51,0.796204233,9,6,4,1,"slide","370.518",295.008,765.608,3,90.419,""
"103","Achara",4,"Juvenile","OKC","F",2,2,10,1,15,15,0.623852303,4,3,1,1,"pull","40.407",25.208,1016.421,3,90.419,"started interacting from behind, can't see approach"
"104","Achara",4,"Juvenile","OKC","F",2,2,11,2,15,0,1,1,1,1,1,"push","1.495",1.495,1016.421,3,90.419,""
"105","Achara",4,"Juvenile","OKC","F",2,2,12,3,15,245.056,0.748536199,15,7,5,1,"slide","974.518",729.462,1016.421,3,90.419,""
"106","Bamboo",51,"Adult","OKC","F",1,1,1,1,2.244,50.248,0.595977536,5,5,3,1,"push","124.998",74.496,317.253,2,2.244,""
"107","Bamboo",51,"Adult","OKC","F",1,1,2,2,2.244,0,1,0,0,0,1,"push","0.506",0.506,317.253,2,2.244,""
"108","Bamboo",51,"Adult","OKC","F",1,1,3,3,2.244,3.751,0.980437968,6,5,2,1,"push","191.749",187.998,317.253,2,2.244,""
"109","Bamboo",51,"Adult","OKC","F",2,1,4,1,1.25,1.25,0.800351101,1,1,1,1,"push","6.266",5.015,238.506,2,2.244,""
"110","Bamboo",51,"Adult","OKC","F",2,1,5,2,1.25,0,1,3,3,2,1,"push","85.077",85.077,238.506,2,2.244,""
"111","Bamboo",51,"Adult","OKC","F",2,1,6,3,1.25,44.503,0.697593825,6,6,3,1,"push","147.163",102.66,238.506,2,2.244,""
"112","Bamboo",51,"Adult","OKC","F",1,2,7,1,1,1,0.945129639,2,2,2,1,"push","18.243",17.242,1648.295,2,2.244,""
"113","Bamboo",51,"Adult","OKC","F",1,2,8,2,1,105.001,0.51409122,7,6,4,1,"slide","216.092",111.091,1648.295,2,2.244,""
"114","Bamboo",51,"Adult","OKC","F",1,2,9,3,1,1007.728,0.347757325,10,6,4,0,"pull",NA,NA,1648.295,2,2.244,""
"115","Bamboo",51,"Adult","OKC","F",2,2,10,1,4.237,1163.531,0.337739177,16,7,5,0,"pull",NA,NA,1756.909,2,2.244,""
"116","Chandra",22,"Adult","OKC","F",1,1,1,1,0.755,259.282,0.28392802,7,5,3,1,"push","362.768",103,1271.461,3,0.755,""
"117","Chandra",22,"Adult","OKC","F",1,1,2,2,0.755,124.246,0.393350813,6,5,2,1,"push","204.807",80.561,1271.461,3,0.755,""
"118","Chandra",22,"Adult","OKC","F",1,1,3,3,0.755,570.873,0.196480826,5,5,3,1,"push","NA ",133.013,1271.461,3,0.755,""
"119","Chandra",22,"Adult","OKC","F",2,1,4,1,27.487,27.487,0.207402115,0,0,0,1,"push","34.99",7.257,1108.828,3,0.755,""
"120","Chandra",22,"Adult","OKC","F",2,1,5,2,27.487,0,1,3,3,2,1,"push","38.243",38.243,1108.828,3,0.755,""
"121","Chandra",22,"Adult","OKC","F",2,1,6,3,27.487,872.084,0.157890874,3,1,3,1,"push","1035.595",163.511,1108.828,3,0.755,""
"122","Chandra",22,"Adult","OKC","F",1,2,7,1,4.001,4,0.906392534,2,2,2,1,"push","42.753",38.751,980.269,3,0.755,""
"123","Chandra",22,"Adult","OKC","F",1,2,8,2,4.001,450.256,0.133693255,3,2,3,1,"slide","519.742",69.486,980.269,3,0.755,""
"124","Chandra",22,"Adult","OKC","F",1,2,9,3,4.001,347.998,0.167018532,5,4,3,1,"pull","417.774",69.776,980.269,3,0.755,""
"125","Chandra",22,"Adult","OKC","F",2,2,10,1,35.757,35.757,0.444206009,3,2,2,1,"push","64.774",28.773,1934.318,3,0.755,""
"126","Chandra",22,"Adult","OKC","F",2,2,11,2,35.757,1700.306,0.090944558,5,5,3,0,"pull",NA,NA,1934.318,3,0.755,""
"127","Chandra",22,"Adult","OKC","F",2,2,12,3,35.757,1700.306,0.090944558,5,5,3,0,"slide",NA,NA,1934.318,3,0.755,""
"128","Kandula",17,"Adult","OKC","M",1,1,1,1,2.749,2.749,0.866771384,1,1,1,1,"push","21.009",18.21,126.255,2,2.749,""
"129","Kandula",17,"Adult","OKC","M",1,1,2,2,2.749,0,1,1,1,1,1,"push","10.499",10.499,126.255,2,2.749,""
"130","Kandula",17,"Adult","OKC","M",1,1,3,3,2.749,56.246,0.406355874,5,5,3,1,"push","94.747",38.501,126.255,2,2.749,""
"131","Kandula",17,"Adult","OKC","M",2,1,4,1,15.503,15.503,0.074498567,0,0,0,1,"push","16.752",1.248,1016.769,2,2.749,""
"132","Kandula",17,"Adult","OKC","M",2,1,5,2,15.503,244.521,0.215879246,6,4,2,1,"push","311.841",67.32,1016.769,2,2.749,""
"133","Kandula",17,"Adult","OKC","M",2,1,6,3,15.503,459.023,0.332986038,13,6,5,1,"push","688.176",229.153,1016.769,2,2.749,""
"134","Kandula",17,"Adult","OKC","M",1,2,7,1,1.002,1.002,0.957862253,2,2,2,1,"push","35.645",34.143,1506.889,2,2.749,""
"135","Kandula",17,"Adult","OKC","M",1,2,8,2,1.002,101.005,0.577200958,10,7,4,1,"slide","238.896",137.891,1506.889,2,2.749,"I think open enough here, but potentially solve at around 9 min"
"136","Kandula",17,"Adult","OKC","M",1,2,9,3,1.002,1155.738,0.062249278,6,4,3,0,"pull",NA,NA,1506.889,2,2.749,""
"137","Kandula",17,"Adult","OKC","M",2,2,10,1,1.751,1540.606,0.216878827,12,7,5,0,"pull",NA,NA,1968.869,2,2.749,""
"138","Rex",51,"Adult","OKC","M",1,1,1,1,31.749,72.633,0.155936954,2,2,1,1,"push","86.349",13.465,1282.199,3,31.749,""
"139","Rex",51,"Adult","OKC","M",1,1,2,2,31.749,58.039,0.436591143,2,2,2,1,"push","103.014",44.975,1282.199,3,31.749,""
"140","Rex",51,"Adult","OKC","M",1,1,3,3,31.749,983.864,0.099820003,4,4,2,0,"push",NA,108.972,1282.199,3,31.749,""
"141","Rex",51,"Adult","OKC","M",2,1,4,1,2.759,18.766,0.623116365,2,2,2,1,"push","51.098",31.84,452.267,3,31.749,""
"142","Rex",51,"Adult","OKC","M",2,1,5,2,2.759,0,1,0,0,0,1,"push","0.667",0.667,452.267,3,31.749,""
"143","Rex",51,"Adult","OKC","M",2,1,6,3,2.759,235.683,0.411531029,5,4,2,1,"push","400.502",164.819,452.267,3,31.749,""
"144","Rex",51,"Adult","OKC","M",1,2,7,1,4.254,4.254,0.814716917,0,0,0,1,"pull","23.456",19.11,827.008,3,31.749,""
"145","Rex",51,"Adult","OKC","M",1,2,8,2,4.254,322.945,0.367810804,5,4,2,1,"push","510.836",187.891,827.008,3,31.749,""
"146","Rex",51,"Adult","OKC","M",1,2,9,3,4.254,181.737,0.313819538,2,2,1,1,"slide","292.716",91.86,827.008,3,31.749,""
"147","Rex",51,"Adult","OKC","M",2,2,10,1,11.503,11.503,0.276769789,1,1,1,1,"push","16.259",4.5,378.269,3,31.749,""
"148","Rex",51,"Adult","OKC","M",2,2,11,2,11.503,14.515,0.813960344,4,4,1,1,"pull","78.021",63.506,378.269,3,31.749,""
"149","Rex",51,"Adult","OKC","M",2,2,12,3,11.503,155.98,0.450753374,6,5,2,1,"slide","283.989",128.009,378.269,3,31.749,""
